year,month,count
2015,1,365
2015,2,284
2015,3,369
2015,4,338
2015,5,368
2015,6,377
2015,7,344
2015,8,392
2015,9,367
2015,10,455
2015,11,401
2015,12,387
2016,1,323
2016,2,286
2016,3,298
2016,4,346
2016,5,338
2016,6,309
2016,7,341
2016,8,319
2016,9,353
2016,10,410
2016,11,396
2016,12,400
2017,1,342
2017,2,274
2017,3,286
2017,4,278
2017,5,355
2017,6,312
2017,7,343
2017,8,345
2017,9,405
2017,10,408
2017,11,370
2017,12,347
2018,1,297
2018,2,267
2018,3,295
2018,4,292
2018,5,290
2018,6,255
2018,7,305
2018,8,348
2018,9,339
2018,10,363
2018,11,292
2018,12,314
