code,name,count
32030,강릉시,8
32400,고성군,3
32040,동해시,6
32070,삼척시,0
32060,속초시,4
32380,양구군,4
32410,양양군,7
32330,영월군,3
32020,원주시,13
32390,인제군,2
32350,정선군,3
32360,철원군,5
32010,춘천시,9
32050,태백시,2
32340,평창군,8
32310,홍천군,5
32370,화천군,1
32320,횡성군,7
31370,가평군,5
31103,고양시,20
31101,고양시,20
31104,고양시,20
31110,과천시,1
31060,광명시,4
31250,광주시,5
31120,구리시,5
31160,군포시,3
31230,김포시,10
31130,남양주시,8
31080,동두천시,2
31053,부천시,12
31052,부천시,12
31051,부천시,12
31023,성남시,12
31022,성남시,12
31021,성남시,12
31014,수원시,14
31013,수원시,14
31012,수원시,14
31011,수원시,14
31150,시흥시,6
31092,안산시,9
31091,안산시,9
31220,안성시,11
31042,안양시,9
31041,안양시,9
31260,양주시,9
31380,양평군,10
31320,여주시,6
31350,연천군,1
31140,오산시,1
31193,용인시,16
31192,용인시,16
31191,용인시,16
31170,의왕시,2
31030,의정부시,6
31210,이천시,10
31200,파주시,13
31070,평택시,24
31270,포천시,12
31180,하남시,6
31240,화성시,21
38090,거제시,8
38390,거창군,2
38340,고성군,6
38070,김해시,15
38350,남해군,5
38080,밀양시,8
38060,사천시,10
38370,산청군,4
38100,양산시,5
38310,의령군,6
38030,진주시,14
38330,창녕군,9
38114,창원시(통합),26
38113,창원시(통합),26
38115,창원시(통합),26
38111,창원시(통합),26
38112,창원시(통합),26
38050,통영시,4
38360,하동군,4
38320,함안군,6
38380,함양군,6
38400,합천군,3
37100,경산시,17
37020,경주시,16
37370,고령군,5
37050,구미시,18
37310,군위군,5
37030,김천시,9
37090,문경시,6
37410,봉화군,2
37080,상주시,20
37380,성주군,10
37040,안동시,12
37350,영덕군,7
37340,영덕군,7
37060,영주시,5
37070,영천시,11
37400,예천군,9
37430,울릉군,1
37420,울진군,3
37320,의성군,6
37360,청도군,3
37330,청송군,6
37390,칠곡군,8
경북,포항시,20
24050,광산구,16
24030,남구,4
24010,동구,7
24040,북구,11
24020,서구,6
22040,남구,5
22070,달서구,7
22310,달성군,11
22020,동구,7
22050,북구,12
22030,서구,2
22060,수성구,8
22010,중구,2
25050,대덕구,9
25010,동구,10
25030,서구,8
25040,유성구,7
25020,중구,4
21120,강서구,8
21110,금정구,3
21310,기장군,4
21070,남구,3
21030,동구,2
21060,동래구,2
21050,부산진구,7
21080,북구,2
21150,사상구,6
21100,사하구,3
21020,서구,3
21140,수영구,4
21130,연제구,0
21040,영도구,3
21010,중구,4
21090,해운대구,3
11230,강남구,10
11250,강동구,3
11090,강북구,7
11160,강서구,3
11210,관악구,5
11050,광진구,4
11170,구로구,4
11180,금천구,3
11110,노원구,6
11100,도봉구,5
11060,동대문구,7
11200,동작구,4
11140,마포구,5
11130,서대문구,7
11220,서초구,7
11040,성동구,1
11080,성북구,6
11240,송파구,2
11150,양천구,5
11190,영등포구,8
11030,용산구,6
11120,은평구,6
11010,종로구,1
11020,중구,6
11070,중랑구,4
29010,세종,6
26020,남구,3
26030,동구,1
26040,북구,3
26310,울주군,10
26010,중구,1
23310,강화군,7
23070,계양구,6
23030,남구,9
23050,남동구,8
23020,동구,1
23060,부평구,9
23080,서구,8
23040,연수구,4
23320,옹진군,2
23010,중구,3
36390,강진군,4
36350,고흥군,6
36320,곡성군,4
36060,광양시,12
36330,구례군,1
36040,나주시,11
36310,담양군,13
36010,목포시,3
36420,무안군,11
36360,보성군,6
36030,순천시,17
36480,신안군,5
36020,여수시,16
36440,영광군,4
36410,영암군,10
36460,완도군,5
36450,장성군,7
36380,장흥군,6
36470,진도군,5
36430,함평군,2
36400,해남군,6
36370,화순군,4
35370,고창군,7
35020,군산시,13
35060,김제시,9
35050,남원시,4
35330,무주군,3
35380,부안군,3
35360,순창군,2
35310,완주군,5
35030,익산시,19
35350,임실군,2
35340,장수군,5
35012,전주시,19
35011,전주시,19
35040,정읍시,10
35320,진안군,4
39020,서귀포시,16
39010,제주시,20
34070,계룡시,0
34020,공주시,9
34310,금산군,4
34060,논산시,16
34080,당진시,8
34030,보령시,8
34330,부여군,11
34050,서산시,12
34340,서천군,6
34040,아산시,8
34370,예산군,10
34012,천안시,25
34011,천안시,25
34350,청양군,6
34380,태안군,8
34360,홍성군,7
33360,괴산군,4
33380,단양군,5
33320,보은군,4
33340,영동군,2
33330,옥천군,6
33370,음성군,11
33030,제천시,6
33390,증평군,1
33350,진천군,7
33012,청주시,36
33011,청주시,36
33020,충주시,12
